incident_zip,borough
11355,QUEENS
11377,QUEENS
10012,MANHATTAN
10003,MANHATTAN
10460,BRONX
11213,BROOKLYN
11368,QUEENS
11203,BROOKLYN
11432,QUEENS
11369,QUEENS
11694,QUEENS
10466,BRONX
10011,MANHATTAN
11226,BROOKLYN
10451,BRONX
11234,BROOKLYN
11421,QUEENS
11207,BROOKLYN
11223,BROOKLYN
10025,MANHATTAN
11365,QUEENS
11218,BROOKLYN
10453,BRONX
11422,QUEENS
11235,BROOKLYN
11105,QUEENS
11220,BROOKLYN
10022,MANHATTAN
11205,BROOKLYN
11201,BROOKLYN
11217,BROOKLYN
11249,BROOKLYN
10463,BRONX
11212,BROOKLYN
11221,BROOKLYN
11206,BROOKLYN
11385,QUEENS
10458,BRONX
10028,MANHATTAN
11211,BROOKLYN
10457,BRONX
11691,QUEENS
10016,MANHATTAN
11427,QUEENS
10002,MANHATTAN
11357,QUEENS
11210,BROOKLYN
11101,QUEENS
11239,BROOKLYN
11208,BROOKLYN
10009,MANHATTAN
10021,MANHATTAN
10455,BRONX
11420,QUEENS
11434,QUEENS
11423,QUEENS
11222,BROOKLYN
11228,BROOKLYN
10305,STATEN ISLAND
11236,BROOKLYN
11209,BROOKLYN
11361,QUEENS
11412,QUEENS
11429,QUEENS
10017,MANHATTAN
11418,QUEENS
10039,MANHATTAN
10456,BRONX
10308,STATEN ISLAND
11419,QUEENS
11356,QUEENS
11214,BROOKLYN
11237,BROOKLYN
10469,BRONX
11372,QUEENS
10036,MANHATTAN
11379,QUEENS
11231,BROOKLYN
11229,BROOKLYN
10001,MANHATTAN
11233,BROOKLYN
10014,MANHATTAN
11417,QUEENS
10472,BRONX
11378,QUEENS
10031,MANHATTAN
10461,BRONX
10452,BRONX
11373,QUEENS
10027,MANHATTAN
10026,MANHATTAN
11433,QUEENS
11238,BROOKLYN
11435,QUEENS
10467,BRONX
10033,MANHATTAN
11358,QUEENS
10128,MANHATTAN
10007,MANHATTAN
10454,BRONX
10013,MANHATTAN
11366,QUEENS
10459,BRONX
11375,QUEENS
11219,BROOKLYN
10468,BRONX
11364,QUEENS
10464,BRONX
11374,QUEENS
10032,MANHATTAN
11103,QUEENS
11430,QUEENS
10018,MANHATTAN
11370,QUEENS
11004,QUEENS
11232,BROOKLYN
10004,MANHATTAN
10310,STATEN ISLAND
10023,MANHATTAN
10462,BRONX
10010,MANHATTAN
10307,STATEN ISLAND
10037,MANHATTAN
11204,BROOKLYN
10312,STATEN ISLAND
10029,MANHATTAN
10040,MANHATTAN
11106,QUEENS
11411,QUEENS
10304,STATEN ISLAND
11415,QUEENS
11216,BROOKLYN
10471,BRONX
10465,BRONX
11102,QUEENS
10024,MANHATTAN
10306,STATEN ISLAND
11414,QUEENS
11230,BROOKLYN
10075,MANHATTAN
UNKNOWN,Unspecified
10030,MANHATTAN
10065,MANHATTAN
11362,QUEENS
10034,MANHATTAN
11225,BROOKLYN
10038,MANHATTAN
10314,STATEN ISLAND
11104,QUEENS
11354,QUEENS
10006,MANHATTAN
10473,BRONX
10301,STATEN ISLAND
11692,QUEENS
10019,MANHATTAN
11416,QUEENS
UNKNOWN,QUEENS
11426,QUEENS
11215,BROOKLYN
10475,BRONX
10118,MANHATTAN
11360,QUEENS
11436,QUEENS
10309,STATEN ISLAND
11428,QUEENS
10302,STATEN ISLAND
10005,MANHATTAN
10035,MANHATTAN
10303,STATEN ISLAND
11224,BROOKLYN
10282,MANHATTAN
UNKNOWN,MANHATTAN
10121,MANHATTAN
11693,QUEENS
10044,MANHATTAN
UNKNOWN,BRONX
11413,QUEENS
11367,QUEENS
10470,BRONX
11001,QUEENS
10105,MANHATTAN
11363,QUEENS
UNKNOWN,BROOKLYN
10169,MANHATTAN
10474,BRONX
10069,MANHATTAN
11040,QUEENS
11697,QUEENS
10020,MANHATTAN
10103,MANHATTAN
10463,MANHATTAN
10165,MANHATTAN
10106,MANHATTAN
10000,MANHATTAN
10172,MANHATTAN
11109,QUEENS
UNKNOWN,STATEN ISLAND
11237,Unspecified
10154,MANHATTAN
37421,Unspecified
10120,MANHATTAN
11385,Unspecified
11005,QUEENS
10280,MANHATTAN
11242,BROOKLYN
10107,MANHATTAN
10048,MANHATTAN
10112,MANHATTAN
10153,MANHATTAN
11359,QUEENS
10278,MANHATTAN
10170,MANHATTAN
10162,MANHATTAN
10111,MANHATTAN
